eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
UKK30,60212,60546,58672,58265,67710,83080,77743,66359,36025
UKK4,125374,127442,144037,129916,136605,168794,152628,131626,78776
UKK41,30732,30072,43149,33565,30093,33793,27188,22286,13257
UKK42,14453,13707,13196,13653,15451,20060,18725,16768,10038
UKK43,80189,83663,87692,82698,91061,114941,106715,92572,55481
UKL,350603,351054,411684,370120,369495,433176,372514,301807,175930
UKL1,215683,217954,248164,226338,229650,275361,241862,198601,114770
UKL11,7726,7119,7034,7249,7898,10002,9851,8415,4779
UKL12,12840,14067,19092,12509,13146,16310,14988,12979,8216
UKL13,22539,22503,21294,21098,24041,31364,28872,25408,15556
UKL14,39706,42654,46608,38404,42201,55261,52371,43673,25602
UKL15,35488,33697,39982,38277,35886,41024,33789,26779,14317
UKL16,39749,38504,41958,43137,42001,48756,40097,31955,17123
UKL17,31734,31566,32350,35924,35863,41240,34825,27450,15320
UKL18,25901,27844,39846,29740,28614,31404,27069,21942,13857
UKL2,134920,133100,163520,143782,139845,157815,130652,103206,61160
UKL21,28500,28089,28606,29179,29675,35892,28197,23003,13750
UKL22,59445,57986,89271,66637,58279,60122,48420,35166,22320
UKL23,34255,33270,33166,36010,37182,41455,34441,28374,15217
UKL24,12720,13755,12477,11956,14709,20346,19594,16663,9873
UKM,579007,572323,733337,715398,685929,792656,640452,468433,266703
UKM5,54566,49989,70062,72379,64886,67999,55174,38515,21795
UKM50,54566,49989,70062,72379,64886,67999,55174,38515,21795
UKM6,46920,50014,48488,52996,58441,73165,64526,49235,27205
UKM61,9405,10184,9393,10463,11341,14981,13473,10179,5498
UKM62,20950,22216,22161,24608,26155,30871,26281,19737,11214
UKM63,9331,10035,9869,10008,11803,16144,14897,11679,6246
UKM64,2537,2724,2295,2744,3421,4188,3872,3060,1847
UKM65,2093,2268,2236,2393,2675,3561,3072,2446,1311
UKM66,2604,2587,2534,2780,3046,3420,2931,2134,1089
UKM7,212254,209812,282733,268945,252991,281280,225357,168407,96920
UKM71,27380,27877,39773,33727,30059,36860,30974,24058,14757
UKM72,45910,46204,51720,49320,53478,63137,52477,40361,21363
UKM73,23556,21744,21949,24015,25876,29542,23814,17847,9604
UKM75,51989,47527,98690,89440,65460,62678,48527,33846,22326
UKM76,17519,17539,18587,20211,22501,24441,18869,13856,7506
UKM77,24031,27159,30628,27774,30204,37251,31048,24186,14499
UKM78,21869,21762,21386,24458,25413,27371,19648,14253,6865
UKM8,167597,162701,229571,216872,192261,221628,167869,115450,68049
UKM81,24060,24333,25531,24740,27358,34883,28847,21124,12640
UKM82,66926,59358,121198,106579,75331,80938,57677,36563,22909
UKM83,38208,39198,41258,41553,44193,54611,42555,30861,18820
UKM84,38403,39812,41584,44000,45379,51196,38790,26902,13680
UKM9,97670,99807,102483,104206,117350,148584,127526,96826,52734
UKM91,11700,11976,10709,11091,14091,18709,16670,13259,7025
UKM92,14008,15068,15111,14819,16806,23766,21868,17610,9815
UKM93,26688,27173,28944,27932,31186,38909,32725,24950,12800
UKM94,10764,11360,11519,11365,13181,17469,16262,13022,7519
UKM95,34510,34230,36200,38999,42086,49731,40001,27985,15575
UKN,249690,235291,237557,248769,242213,255253,193922,141747,80747
UKN0,249690,235291,237557,248769,242213,255253,193922,141747,80747
UKN06,44500,41091,54842,49353,40716,43121,31396,21791,14696
UKN07,30917,27362,26160,29525,28347,28388,20793,15330,8424
UKN08,26010,23813,21875,23538,23063,24259,18420,12611,7236
UKN09,18392,18642,16650,19028,20679,23160,19931,16200,8293
UKN10,21014,19699,19152,19389,19765,20867,15078,10413,5180
UKN11,22042,19617,19020,20891,19684,18324,13690,9704,5406
UKN12,17561,18084,17017,17209,18749,20730,16116,12189,6712
UKN13,18555,18222,16991,18627,19011,19454,14696,10924,6085
UKN14,18465,17050,16587,19409,18876,20983,14955,11666,6780
UKN15,16406,16522,16167,16777,17980,20238,15811,12115,6932
UKN16,15828,15189,13096,15023,15343,15729,13036,8804,5003
EFTA,1531685,1530620,1825175,1989103,1984239,2023888,1549343,1150470,683585
IS,44848,44914,55484,51650,45597,43927,36377,21716,12478
IS0,44848,44914,55484,51650,45597,43927,36377,21716,12478
IS00,44848,44914,55484,51650,45597,43927,36377,21716,12478
IS001,28557,28223,35766,34011,30094,27652,22639,13447,7842
IS002,16291,16691,19718,17639,15503,16275,13738,8269,4636
LI,3737,3891,4539,4888,5571,6339,4694,3263,1456
LI0,3737,3891,4539,4888,5571,6339,4694,3263,1456
LI00,3737,3891,4539,4888,5571,6339,4694,3263,1456
LI000,3737,3891,4539,4888,5571,6339,4694,3263,1456
NO,614916,640541,712419,717369,728639,691744,576747,419838,225999
NO0,614916,640541,712419,717369,728639,691744,576747,419838,225999
NO01,158141,147081,189457,210795,189552,161819,118545,85114,44618
NO011,80049,65041,119663,129336,95102,75987,56332,38598,20959
NO012,78092,82040,69794,81459,94450,85832,62213,46516,23659
NO02,38146,45111,46201,42222,51117,54421,50121,38714,20898
NO021,19405,22799,23187,21664,25895,27764,25970,19988,10734
NO022,18741,22312,23014,20558,25222,26657,24151,18726,10164
NO03,108948,121934,117731,121734,140115,138621,119653,89481,46853
NO031,32207,36148,34777,35554,41606,41596,35209,26751,13672
NO032,31635,34448,32709,36453,40648,38246,32190,24219,12600
NO033,27166,30559,29395,30223,34560,34877,30266,22110,11928
NO034,17940,20779,20850,19504,23301,23902,21988,16401,8653
NO04,99515,101088,103106,106206,106867,98509,80788,55378,29441
NO041,13721,14953,14117,14178,16241,15374,14023,10104,4944
NO042,22979,24339,26434,23813,24760,23802,19591,14178,7693
NO043,62815,61796,62555,68215,65866,59333,47174,31096,16804
NO05,105654,112152,120966,118065,118557,113712,99549,71066,41968
NO051,63121,63865,74888,72539,70214,64617,54029,38623,22599
NO052,12349,14603,13538,12345,13596,14601,13208,9473,6061
NO053,30184,33684,32540,33181,34747,34494,32312,22970,13308
NO06,52809,55105,68600,59943,59693,58605,50214,37385,19678
NO060,52809,55105,68600,59943,59693,58605,50214,37385,19678
NO061,0,0,0,0,0,0,0,0,0
NO062,0,0,0,0,0,0,0,0,0
NO07,51703,58070,66358,58404,62738,66057,57877,42700,22543
NO071,25785,29026,31138,28279,30409,33672,30068,22534,12474
NO072,17948,19827,24387,21142,22125,21827,19030,13925,6991
NO073,7970,9217,10833,8983,10204,10558,8779,6241,3078
CH,868184,841274,1052733,1215196,1204432,1281878,931525,705653,443652
CH0,868184,841274,1052733,1215196,1204432,1281878,931525,705653,443652
CH01,172876,176310,214141,236275,238290,235591,162379,126352,80366
CH011,86652,89018,105716,115587,116838,112256,76404,59060,37614
CH012,33568,34437,43423,45290,46218,52441,40100,30908,17570
CH013,52656,52855,65002,75398,75234,70894,45875,36384,25182
CH02,187690,185408,228466,252179,255582,283302,217279,164574,102674
CH021,100744,96337,121374,140048,139161,155954,124107,96542,60710
CH022,35410,35796,42672,44129,45665,47233,32328,22969,12512
CH023,26328,25727,32890,36532,36236,43811,33297,23445,14928
CH024,17917,19444,22344,22951,25128,25413,18561,14968,10124
CH025,7291,8104,9186,8519,9392,10891,8986,6650,4400
CH03,116277,109881,136651,164238,161399,179058,132558,98444,62599
CH031,18281,15304,24057,32881,26742,27663,20556,15998,13284
CH032,27487,27841,30731,35455,39532,45485,34720,28485,18396
CH033,70509,66736,81863,95902,95125,105910,77282,53961,30919
CH04,160655,139523,186709,250177,227050,217447,149103,116362,73942
CH040,160655,139523,186709,250177,227050,217447,149103,116362,73942
CH05,117943,115856,148167,159289,155483,182009,137646,99584,60344
CH051,3873,3853,4994,5464,5143,6260,5042,3501,2273
CH052,7777,7634,9737,10804,10618,12714,9967,7659,5081
CH053,5817,5311,6534,6963,7128,8917,6892,4728,2944
CH054,1754,1670,2172,2016,2054,2438,1798,1313,930
CH055,52534,51714,67142,70262,66870,75777,56448,41793,25157
CH056,17461,18226,23216,25515,26820,31467,25406,18961,11307
CH057,28727,27448,34372,38265,36850,44436,32093,21629,12652
CH06,82665,80276,100939,112648,114126,127534,90900,64412,39556
CH061,42599,40764,54386,58107,55842,61585,44203,31463,20608
CH062,3569,3771,4469,4448,4843,5467,4553,3303,2010
CH063,15542,15444,18788,21398,22920,26586,18588,12545,7354
CH064,3842,3797,4516,4862,5118,6092,4628,3114,1872
CH065,3927,3957,5048,5513,5742,7322,5494,4093,2127
CH066,13186,12543,13732,18320,19661,20482,13434,9894,5585
CH07,30078,34020,37660,40390,52502,56937,41660,35925,24171
CH070,30078,34020,37660,40390,52502,56937,41660,35925,24171
ME,74464,77613,79498,90519,82794,82291,75972,38778,20253
ME0,74464,77613,79498,90519,82794,82291,75972,38778,20253
ME00,74464,77613,79498,90519,82794,82291,75972,38778,20253
ME000,74464,77613,79498,90519,82794,82291,75972,38778,20253
MK,227724,231901,292309,325743,297514,281928,235923,131705,52206
MK0,227724,231901,292309,325743,297514,281928,235923,131705,52206
MK00,227724,231901,292309,325743,297514,281928,235923,131705,52206
MK001,16078,16047,19514,23107,21116,21999,19377,10742,4040
MK002,15803,17593,22655,26486,24769,26049,23691,13069,4761
MK003,21000,24032,35607,37121,31530,30160,23137,12127,4857
MK004,18636,18930,22909,26630,24535,24794,21068,11433,4369
MK005,22839,23760,28938,34566,30608,32279,30391,16866,7665
MK006,34557,37862,55665,54852,47713,44084,28270,14508,4787
MK007,19323,21274,26429,26877,24826,23696,19351,10438,3941
MK008,79488,72403,80592,96104,92417,78867,70638,42522,17786
MKX,0,0,0,0,0,0,0,0,0
MKXX,0,0,0,0,0,0,0,0,0
MKXXX,0,0,0,0,0,0,0,0,0
AL,319074,381542,474360,366807,339697,398271,315510,190753,52224
AL0,319074,381542,474360,366807,339697,398271,315510,190753,52224
AL01,97300,110365,130575,99290,96191,114505,88734,54682,15005
AL011,16511,17095,18636,12815,14090,16776,12281,7903,2248
AL012,33570,36973,47258,39688,34171,39208,31682,18618,5138
AL013,11284,10373,11216,8715,8989,10566,7920,5251,1566
AL014,14583,17122,19637,13924,14330,18618,14295,9067,2443
