key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
PE_ARE_0410,2589,1370,1219,455,391,374,413,349,259,180,108,58
PE_ARE_0411,503,266,237,88,76,73,80,68,50,35,21,11
PE_ARE_0412,522,276,246,92,79,75,83,70,52,36,22,12
PE_ARE_0413,24638,13035,11603,4330,3724,3566,3935,3327,2466,1711,1029,550
PE_ARE_0414,1590,841,749,280,240,230,254,215,159,111,67,36
PE_ARE_0501,9487,4881,4607,1794,1616,1554,1458,1155,849,600,319,142
PE_ARE_0502,945,486,459,179,161,155,145,115,85,60,32,14
PE_ARE_0503,2514,1293,1220,475,428,412,386,306,225,159,84,38
PE_ARE_0504,2094,1077,1017,397,357,343,321,255,187,132,71,31
PE_ARE_0505,3236,1664,1571,614,552,528,496,394,289,205,109,49
PE_ARE_0506,2117,1089,1028,400,361,347,325,258,189,134,71,32
PE_ARE_0507,563,290,273,106,96,92,87,69,50,36,19,8
PE_ARE_0508,1219,627,593,230,208,200,187,149,109,77,41,18
PE_ARE_0509,684,352,332,129,117,112,105,83,61,43,23,10
PE_ARE_0510,1503,773,730,284,256,246,231,183,134,95,50,23
PE_ARE_0511,720,365,355,126,118,119,112,91,68,47,26,13
PE_ARE_0512,722,371,350,137,123,118,111,88,65,46,24,11
PE_ARE_0513,472,243,229,89,80,77,72,57,42,30,16,7
PE_ARE_0514,1926,990,936,363,328,316,296,235,173,122,65,29
PE_ARE_0515,707,364,343,134,120,116,109,86,63,45,24,11
PE_ARE_0516,572,294,277,108,97,93,88,70,51,36,19,9
PE_ARE_0517,1495,769,727,284,256,244,229,182,134,94,50,22
PE_ARE_0518,880,453,427,167,150,144,135,107,79,56,30,13
PE_ARE_0519,2416,1243,1174,457,412,396,371,294,216,153,81,36
PE_ARE_0520,135252,65675,69576,20079,21268,23510,21703,18006,14055,8968,4995,2667
PE_ARE_0601,3461,1924,1537,576,500,558,556,473,340,223,141,92
PE_ARE_0602,751,418,334,125,109,121,121,103,74,49,31,20
PE_ARE_0603,3183,1755,1429,551,474,498,500,431,311,206,129,83
PE_ARE_0604,630,350,280,105,91,102,101,86,62,41,26,17
PE_ARE_0605,656,365,291,109,95,106,105,90,65,42,27,17
PE_ARE_0606,2837,1566,1272,470,416,460,457,390,281,180,112,71
PE_ARE_0607,844,468,376,141,122,135,135,115,83,55,35,22
PE_ARE_0608,6968,3876,3092,1160,1006,1125,1120,953,685,450,284,186
PE_ARE_0701,21076,10852,10223,3029,3035,3056,3376,2918,2421,1797,991,453
PE_ARE_0702,9328,4808,4521,1340,1342,1349,1494,1292,1073,797,440,201
PE_ARE_0703,7051,3634,3417,1013,1014,1020,1129,977,811,603,332,152
PE_ARE_0704,8878,4576,4302,1276,1277,1284,1422,1230,1021,759,418,191
PE_ARE_0705,1039,536,504,149,149,150,166,144,120,89,49,22
PE_ARE_0706,6540,3370,3169,940,940,946,1048,906,752,559,308,140
PE_ARE_0801,2898,1440,1459,630,461,291,393,362,281,248,149,82
PE_ARE_0802,1919,953,966,417,305,193,260,240,186,164,99,54
PE_ARE_0803,507,252,255,110,81,51,69,63,49,43,26,14
PE_ARE_0804,2281,1133,1148,496,363,229,309,285,221,196,118,65
PE_ARE_0805,1232,612,620,267,196,124,167,154,119,105,64,35
PE_ARE_0806,2875,1429,1446,625,459,290,389,359,278,245,147,81
PE_ARE_0807,219,109,110,47,35,22,30,27,21,19,11,6
PE_ARE_0808,613,305,309,133,98,62,83,77,59,53,32,17
PE_ARE_0809,330,164,166,72,53,33,45,41,32,28,17,9
PE_ARE_0810,829,412,417,180,132,83,112,104,80,71,43,23
PE_ARE_0811,737,367,370,160,117,75,100,92,71,63,38,21
PE_AYA,808255,399379,408875,174044,153150,122676,109196,88302,66399,49503,28835,16149
PE_AYA_0101,113449,55101,58348,23498,22055,19964,16317,12227,8807,5755,2990,1836
PE_AYA_0102,12310,5979,6331,2550,2393,2165,1770,1327,956,625,325,199
PE_AYA_0103,7216,3506,3711,1496,1403,1269,1038,778,560,366,190,117
PE_AYA_0104,31776,15433,16343,6582,6178,5592,4570,3425,2467,1612,837,514
PE_AYA_0105,8826,4284,4541,1830,1714,1541,1265,951,687,455,238,146
PE_AYA_0106,5985,2908,3077,1242,1164,1043,857,645,466,308,161,99
PE_AYA_0107,3978,1934,2044,832,775,694,569,428,309,202,105,64
PE_AYA_0108,6630,3221,3409,1377,1290,1164,952,714,515,336,175,107
PE_AYA_0109,6311,3065,3246,1310,1227,1108,906,680,490,321,166,102
PE_AYA_0110,54508,26474,28034,11290,10597,9592,7840,5874,4231,2765,1436,882
PE_AYA_0111,2494,1212,1282,562,490,404,334,266,197,133,69,40
PE_AYA_0112,7428,3608,3820,1539,1444,1307,1068,801,577,377,196,120
PE_AYA_0113,7670,3725,3945,1589,1491,1350,1103,827,595,389,202,124
PE_AYA_0114,19394,9417,9976,4023,3769,3400,2783,2089,1508,989,516,316
PE_AYA_0115,21914,10643,11271,4539,4260,3856,3152,2362,1701,1112,577,355
PE_AYA_0116,31560,15328,16232,6537,6136,5554,4539,3401,2450,1601,832,511
PE_AYA_0201,7307,3469,3838,1597,1365,895,894,776,642,572,368,197
PE_AYA_0202,8440,4008,4433,1848,1580,1041,1035,896,739,655,421,226
PE_AYA_0203,9172,4355,4817,2009,1718,1132,1125,974,802,711,456,245
PE_AYA_0204,2676,1270,1406,586,500,327,327,284,235,209,135,72
PE_AYA_0205,4613,2192,2421,1008,861,566,566,490,405,360,232,124
PE_AYA_0206,3724,1768,1956,815,696,456,455,396,327,292,188,100
